MSZoning,LotArea,Street,Neighborhood,YearBuilt,OverallCond,ExterQual,GrLivArea,FullBath,GarageArea,BsmtCond,FireplaceQu,Electrical,LotFrontage,KitchenQual,PavedDrive,MSZoning_mean,Neighborhood_mean,OverallCond_mean,BsmtCond_mean,FireplaceQu_mean,Electrical_mean,ExterQual_Gd_dummy0,ExterQual_TA_dummy1,ExterQual_Ex_dummy2,ExterQual_Fa_dummy3,FullBath_2_dummy0,FullBath_1_dummy1,FullBath_3_dummy2,FullBath_0_dummy3,KitchenQual_Gd_dummy0,KitchenQual_TA_dummy1,KitchenQual_Ex_dummy2,KitchenQual_Fa_dummy3,PavedDrive_Y_dummy0,PavedDrive_N_dummy1,PavedDrive_P_dummy2
RL,7130,Pave,NAmes,1967,6,TA,864,1,312.0,TA,,SBrkr,62.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,9600,Pave,NAmes,1967,5,TA,1568,1,440.0,TA,,SBrkr,80.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,9600,Pave,NWAmes,1974,5,TA,2061,2,498.0,TA,TA,SBrkr,80.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RL,16500,Pave,NWAmes,1971,5,TA,1320,2,495.0,TA,Gd,SBrkr,,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RL,7436,Pave,NAmes,1960,7,TA,894,1,396.0,TA,Po,SBrkr,60.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,8125,Pave,NAmes,1959,7,TA,864,1,308.0,TA,,SBrkr,65.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,9450,Pave,NAmes,1957,5,TA,1362,1,768.0,TA,Gd,SBrkr,,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,13495,Pave,NAmes,1956,6,TA,1728,2,576.0,TA,Gd,SBrkr,,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RL,9350,Pave,NAmes,1961,6,TA,1313,1,610.0,TA,TA,SBrkr,85.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
RL,10500,Pave,NAmes,1964,5,TA,1292,1,520.0,TA,Gd,SBrkr,115.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,8970,Pave,NAmes,1965,6,TA,2140,2,549.0,TA,TA,SBrkr,,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RL,11475,Pave,NAmes,1961,6,TA,1576,1,368.0,TA,Po,SBrkr,85.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
RL,9768,Pave,NAmes,1955,5,TA,960,1,330.0,TA,,SBrkr,68.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,9900,Pave,NAmes,1967,5,Gd,1691,1,550.0,TA,,SBrkr,90.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,10573,Pave,NAmes,1961,6,TA,1453,2,530.0,TA,TA,SBrkr,92.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RL,14695,Pave,NAmes,1966,8,TA,1567,2,542.0,TA,Gd,SBrkr,80.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,8760,Pave,NAmes,1956,7,Gd,1144,1,286.0,TA,,SBrkr,73.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,12285,Pave,NAmes,1960,6,TA,1329,1,441.0,TA,Gd,SBrkr,,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,9240,Pave,NAmes,1959,8,Gd,988,2,297.0,TA,,SBrkr,66.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,8750,Pave,NAmes,1956,5,TA,1202,1,304.0,TA,,SBrkr,70.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,8750,Pave,NAmes,1955,5,TA,1382,1,350.0,TA,,FuseA,70.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
RL,10400,Pave,NAmes,1956,5,TA,1200,1,294.0,TA,Gd,SBrkr,80.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,9482,Pave,NAmes,1958,4,TA,1866,2,495.0,TA,,SBrkr,76.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RL,8128,Pave,NAmes,1954,7,TA,1062,1,297.0,TA,,SBrkr,53.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,13070,Pave,NAmes,1951,5,TA,1112,1,480.0,TA,,FuseA,67.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,8480,Pave,NAmes,1945,6,TA,793,1,240.0,TA,,SBrkr,80.0,Fa,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
RL,7626,Pave,NAmes,1952,8,Gd,1031,1,230.0,TA,,SBrkr,60.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
RL,9533,Pave,NAmes,1953,5,TA,1210,1,616.0,,,FuseA,75.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,11419,Pave,NAmes,1948,7,TA,1527,1,410.0,TA,Gd,FuseA,78.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,9600,Pave,NAmes,1950,6,TA,1200,1,246.0,TA,,SBrkr,60.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,5470,Pave,OldTown,1958,5,TA,792,1,366.0,TA,,FuseA,53.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,10800,Pave,OldTown,1939,7,TA,1352,2,720.0,TA,,SBrkr,60.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,8146,Pave,OldTown,1900,8,Gd,1039,1,281.0,TA,,SBrkr,80.0,TA,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
RL,10230,Pave,OldTown,1925,7,TA,1078,1,264.0,TA,,SBrkr,60.0,Ex,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
RL,10410,Pave,OldTown,1915,5,TA,2377,2,528.0,TA,TA,SBrkr,60.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,7200,Pave,OldTown,1910,9,Gd,1690,2,624.0,TA,,SBrkr,60.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,5400,Pave,OldTown,1940,5,Fa,599,1,0.0,TA,,FuseA,90.0,Gd,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
RL,10800,Pave,OldTown,1920,7,TA,846,1,576.0,TA,,SBrkr,60.0,Gd,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
RL,10800,Pave,OldTown,1890,5,TA,725,1,320.0,TA,,FuseA,60.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,9671,Pave,NAmes,1969,5,TA,2544,2,907.0,TA,,SBrkr,81.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RL,10143,Pave,NAmes,1963,7,TA,1380,1,364.0,TA,,SBrkr,83.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,11500,Pave,NAmes,1967,4,Fa,1040,1,480.0,Fa,Po,SBrkr,77.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
RL,8010,Pave,NAmes,1958,9,Gd,951,1,480.0,TA,,SBrkr,62.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
RL,10454,Pave,NAmes,1957,6,TA,1105,1,308.0,TA,,FuseA,90.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,9000,Pave,NAmes,1958,6,TA,1142,1,384.0,TA,Gd,SBrkr,80.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,8064,Pave,NAmes,1950,5,TA,1133,1,900.0,TA,,SBrkr,60.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,7350,Pave,NAmes,1958,6,TA,1041,1,294.0,TA,,SBrkr,71.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,7200,Pave,NAmes,1952,7,TA,732,1,240.0,Gd,,SBrkr,60.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,8000,Pave,NAmes,1959,5,TA,1183,1,288.0,TA,,SBrkr,80.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,10800,Pave,NAmes,1949,7,TA,1461,2,384.0,TA,,FuseF,60.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RL,8064,Pave,NAmes,1948,7,TA,1495,1,576.0,TA,,SBrkr,60.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,7570,Pave,NAmes,1964,5,TA,1806,1,483.0,TA,,SBrkr,76.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,8604,Pave,NAmes,1978,7,TA,941,1,564.0,TA,,SBrkr,75.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
RL,7936,Pave,NAmes,1963,6,TA,1045,1,264.0,TA,Fa,SBrkr,80.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RM,4080,Pave,OldTown,1935,8,TA,1378,1,162.0,TA,,SBrkr,68.0,Gd,P,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
RM,10307,Pave,OldTown,1910,5,TA,1944,2,324.0,TA,,FuseA,57.0,TA,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
RM,15660,Pave,OldTown,1910,8,TA,1306,1,472.0,TA,,SBrkr,90.0,Gd,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
RM,9900,Pave,OldTown,1910,8,Gd,1464,2,0.0,TA,,SBrkr,90.0,TA,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
RM,6406,Pave,OldTown,1939,6,TA,1558,1,400.0,TA,Gd,FuseA,57.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RM,7627,Pave,OldTown,1920,6,Fa,1701,2,0.0,Po,,SBrkr,63.0,Fa,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
RM,10134,Pave,OldTown,1910,5,TA,1447,1,0.0,TA,,SBrkr,56.0,TA,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
RM,6000,Pave,OldTown,1950,7,TA,1328,1,308.0,TA,,FuseA,50.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RM,7404,Pave,OldTown,1920,6,TA,861,1,288.0,TA,,SBrkr,62.0,TA,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
RM,5925,Pave,OldTown,1940,4,TA,612,1,308.0,,,FuseA,50.0,TA,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
RM,8520,Pave,OldTown,1923,8,Gd,792,1,287.0,TA,,SBrkr,60.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
RM,9600,Pave,OldTown,1910,4,Gd,1510,2,720.0,TA,,SBrkr,60.0,Gd,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
RM,8400,Pave,OldTown,1900,7,TA,2007,2,357.0,Gd,,FuseA,70.0,Ex,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
RM,3600,Pave,OldTown,1917,7,TA,1288,1,280.0,TA,Gd,SBrkr,60.0,Ex,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
C (all),3300,Pave,OldTown,1910,3,TA,816,1,0.0,TA,Gd,SBrkr,,TA,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
RM,5400,Pave,OldTown,1920,6,Fa,1480,1,207.0,TA,,SBrkr,60.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
RM,9720,Pave,OldTown,1910,7,TA,1521,1,640.0,TA,,SBrkr,60.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
C (all),9392,Pave,IDOTRR,1900,3,TA,797,1,0.0,TA,,SBrkr,72.0,TA,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
RL,6615,Pave,BrkSide,1923,6,TA,1432,1,216.0,TA,Gd,FuseA,,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
RL,4960,Pave,BrkSide,1930,7,TA,1654,2,336.0,TA,Gd,SBrkr,50.0,TA,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
RM,6000,Pave,BrkSide,1924,5,TA,1142,1,320.0,TA,,SBrkr,60.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RM,6120,Pave,BrkSide,1925,6,TA,995,1,264.0,TA,,SBrkr,51.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RM,6120,Pave,BrkSide,1938,6,TA,1582,2,250.0,Fa,Gd,FuseA,51.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RM,8635,Pave,BrkSide,1925,5,TA,1072,1,1184.0,TA,,SBrkr,50.0,TA,P,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
RM,8094,Pave,OldTown,1915,6,TA,1768,2,576.0,TA,,FuseA,57.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RM,9928,Pave,OldTown,1915,8,TA,1944,2,216.0,TA,,SBrkr,68.0,TA,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
RM,3000,Pave,OldTown,1922,1,TA,2128,2,0.0,Fa,,SBrkr,50.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RM,6876,Pave,IDOTRR,1927,5,TA,1930,2,316.0,Fa,,SBrkr,57.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RM,5775,Pave,OldTown,1915,7,TA,1427,1,379.0,TA,,SBrkr,,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
RM,5852,Pave,OldTown,1902,5,TA,1864,2,0.0,Fa,,FuseF,41.0,TA,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
RM,5160,Pave,IDOTRR,1927,6,TA,1666,1,384.0,TA,,FuseA,60.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RM,5160,Pave,IDOTRR,1923,6,TA,892,1,0.0,Fa,,SBrkr,86.0,Gd,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
RM,10320,Pave,IDOTRR,1915,7,TA,1403,1,308.0,TA,,FuseF,60.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,4280,Pave,Sawyer,1946,9,TA,704,1,220.0,TA,,FuseA,50.0,Fa,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
RL,10800,Pave,Edwards,1987,5,TA,1200,3,0.0,Gd,,SBrkr,60.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
RL,10547,Pave,Edwards,1978,5,TA,1152,2,252.0,Gd,,SBrkr,,TA,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
RL,9780,Pave,Edwards,1934,3,TA,1112,2,226.0,TA,,FuseA,60.0,TA,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
RL,11625,Pave,Sawyer,1967,6,TA,1052,1,668.0,TA,Po,SBrkr,75.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,8014,Pave,Sawyer,1978,5,TA,1034,1,504.0,TA,Fa,SBrkr,,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,15400,Pave,Sawyer,1961,5,TA,1774,2,384.0,Gd,TA,SBrkr,88.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RL,15312,Pave,Sawyer,1960,5,TA,1138,1,480.0,TA,TA,SBrkr,88.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,15584,Pave,ClearCr,1956,5,TA,2071,1,336.0,TA,TA,SBrkr,,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,9000,Pave,Sawyer,1947,2,TA,660,1,0.0,,,SBrkr,,Fa,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
RL,15635,Pave,Edwards,1954,5,TA,1383,1,498.0,,,SBrkr,,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,9571,Pave,Edwards,1956,5,TA,1073,1,340.0,TA,,FuseA,68.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,9350,Pave,Edwards,1946,7,TA,1639,1,240.0,TA,Gd,SBrkr,50.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
RL,7440,Pave,Edwards,1954,6,TA,1089,1,252.0,TA,Gd,SBrkr,62.0,TA,P,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
RL,4235,Pave,Edwards,1984,5,Gd,1049,2,266.0,TA,,SBrkr,42.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,10778,Pave,SawyerW,1990,6,Gd,1061,1,462.0,TA,,SBrkr,74.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
RL,19255,Pave,SawyerW,1983,5,Gd,1338,1,576.0,TA,Po,SBrkr,66.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
RL,10560,Pave,SawyerW,1993,5,Gd,1879,2,473.0,Gd,TA,SBrkr,85.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,26400,Pave,SawyerW,1880,7,Gd,2016,1,576.0,,TA,SBrkr,120.0,TA,P,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
